Company Name,Report Year,Annual Carbon Emissions,Annual Water Consumption,Renewable Energy Usage,Sustainable Materials Usage Ratio,Waste Recycling Rate
Host Hotels & Resorts,2022,73024.0 tonnes CO₂,2013986.0 cubic meters,N/A,N/A,N/A
Host Hotels & Resorts,2023,82747.0 tonnes CO₂,2459840.0 cubic meters,12.0 MWh,N/A,25064.0 tonnes CO₂
Host Hotels & Resorts_2024,2024,295718.0 tonnes CO₂,2699944.65 cubic meters,18.2 MWh,N/A,N/A
Howden Joinery Group Plc,2022,200.0 tonnes CO₂,N/A,N/A,N/A,N/A
Humana,N/A,148526.0 tonnes CO₂,N/A,N/A,N/A,40.0 percent
Humana,N/A,121876.0 tonnes CO₂,358226.0 cubic meters,N/A,N/A,21.0 percent
Humana,N/A,8900.0 tonnes CO₂,397106.0 cubic meters,N/A,N/A,41.0 percent
Humana,2018,58672.0 tonnes CO₂,N/A,N/A,N/A,60.0 percent
Humana,2019,N/A,N/A,N/A,N/A,63.0 percent
Humana,N/A,117204.0 tonnes CO₂,668220.0 cubic meters,11.0 MWh,N/A,50.6 percent
Cal Poly,2018,N/A,830.0 cubic meters,N/A,N/A,N/A
HII,2024,307154.0 tonnes CO₂,N/A,N/A,N/A,N/A
City of Palo Alto,2019,N/A,N/A,N/A,N/A,N/A
IDEXX,2020,22153.0 tonnes CO₂,N/A,250.0 MWh,N/A,N/A
IDEXX,2021,34027.0 tonnes CO₂,N/A,0.4 MWh,N/A,N/A
IDEXX,2023,35015.0 tonnes CO₂,N/A,70.0 MWh,N/A,N/A
BP,2013,7.0 tonnes CO₂,90.0 cubic meters,492000000.0 MWh,N/A,N/A
Canon,2017,1118721.0 tonnes CO₂,9410000.0 cubic meters,N/A,N/A,N/A
IHS Towers,2022,1002244.0 tonnes CO,N/A,N/A,N/A,N/A
Novartis,2016,1352.7 tonnes CO₂,82500000.0 cubic meters,N/A,N/A,78.3 percent
IMI Fabi Group,2022,N/A,25480.2 cubic meters,N/A,N/A,47.0 percent
Intesa Sanpaolo,2015,53.0 tonnes CO₂,26.0 cubic meters,N/A,95.0 percent,N/A
Intesa Sanpaolo,2019,4000.0 tonnes CO₂,17.9 cubic meters,N/A,N/A,60.7 percent
Intesa Sanpaolo,2020,255000.0 tonnes CO₂,19.0 cubic meters,88.0 MWh,N/A,N/A
Intesa Sanpaolo,2021,83665.0 tonnes CO,18.0 cubic meters,88.0 MWh,N/A,N/A
Intesa Sanpaolo,2023,N/A,N/A,N/A,N/A,98.0 percent
IPG Photonics,2021,69016.0 tonnes CO₂,180306.0 cubic meters,N/A,N/A,N/A
IPG Photonics Corporation,2022,61565.0 tonnes CO₂,200723.0 cubic meters,0.0 MWh,N/A,0.0 percent
Quintiles,2014,139047.0 tonnes CO₂,N/A,N/A,N/A,N/A
Quintiles,2015,133621.0 tonnes CO₂,N/A,N/A,N/A,N/A
IQVIA,N/A,178992.0 tonnes CO₂,N/A,N/A,N/A,N/A
IQVIA,2021,71535.0 tonnes CO₂,N/A,N/A,N/A,N/A
IQVIA,2022,7587.0 tonnes CO₂,N/A,80174.0 MWh,N/A,N/A
Iveco Group,2023,98512.0 tonnes CO₂,13.0 cubic meters,98.0 MWh,N/A,97.5 percent
Hobart Service and Instron,2010,1060000.0 tonnes CO₂,8772.31 cubic meters,N/A,N/A,50.0 percent
Wilsonart,2011,990000.0 tonnes CO₂,7875.66 cubic meters,N/A,20.0 percent,80000.0 percent
ITW,2012,152045.0 tonnes CO₂,N/A,N/A,N/A,N/A
ITW,N/A,608366.0 tonnes CO₂,2838.52 cubic meters,N/A,N/A,N/A
ITW,2015,N/A,484.81 cubic meters,N/A,131587.0 percent,N/A
ITW,2016,N/A,N/A,N/A,N/A,N/A
ITW,2017,N/A,N/A,3.0 MWh,N/A,N/A
ITW,2018,N/A,N/A,N/A,N/A,N/A
ITW,2019,985263.0 tonnes CO₂,2694.32 cubic meters,N/A,N/A,N/A
ITW,2020,541177.0 tonnes CO₂,500.81 cubic meters,1409730.0 MWh,N/A,N/A
IGM Financial,2021,46574.0 tonnes CO₂,N/A,N/A,N/A,N/A
ITW,N/A,N/A,N/A,N/A,N/A,N/A
Illumina,2020,42054.0 tonnes CO₂,N/A,1272.0 MWh,N/A,N/A
Illumina,2021,N/A,N/A,N/A,N/A,N/A
Illumina,2022,N/A,8.0 cubic meters,59.0 MWh,N/A,49.0 percent
People and Planet,2023,822880.0 tonnes CO₂,999214.0 cubic meters,96.0 MWh,97.0 percent,91.0 percent
Imperial Brands,2021,239977.0 tonnes CO₂,N/A,N/A,N/A,N/A
Imperial Brands,2022,N/A,N/A,90.0 MWh,N/A,N/A
Amgen,2013,N/A,4260.0 cubic meters,N/A,N/A,51.3 percent
Hologic,2023,19244.0 tonnes CO₂,N/A,N/A,N/A,N/A
Siemens,2016,1738000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Siemens,2017,1600000.0 tonnes CO₂,N/A,60.0 MWh,N/A,90.0 percent
Siemens,2018,1500000.0 tonnes CO₂,N/A,80.0 MWh,N/A,N/A
H&M,2014,341675.0 tonnes CO₂,105000.0 cubic meters,27.0 MWh,N/A,98.0 percent
N/A,2023,7833.0 tonnes CO,43095.0 cubic meters,10399086.0 MWh,N/A,N/A
Trane,2014,N/A,N/A,N/A,N/A,N/A
GENERAL MOTORS CO,2025,N/A,N/A,N/A,N/A,N/A
Intel,2007,4000000.0 tonnes CO₂,0.02 cubic meters,N/A,N/A,87.0 percent
Intel,2009,1.98 tonnes CO₂,7570820.0 cubic meters,1430000000.0 MWh,N/A,N/A
Intel,2010,N/A,7570820.0 cubic meters,3800000.0 MWh,N/A,75.0 percent
Intel,2011,N/A,31040362.0 cubic meters,2800000000.0 MWh,N/A,81.0 percent
Intel,2012,1313.0 tonnes CO₂,0.15 cubic meters,N/A,50.0 percent,87.0 percent
Intel,2015,2000000.0 tonnes CO₂,34068690.0 cubic meters,3400000000.0 MWh,N/A,82.0 percent
Intel,N/A,2461000.0 tonnes CO₂,79.49 cubic meters,N/A,N/A,85.0 percent
Intel,N/A,2578000.0 tonnes CO₂,11356230.0 cubic meters,N/A,N/A,N/A
Intel,N/A,2788000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Intel,N/A,2882000.0 tonnes CO₂,12900000.0 cubic meters,82.0 MWh,N/A,94.0 percent
Intel,N/A,2.0 tonnes CO₂,54131363.0 cubic meters,N/A,96.0 percent,96.0 percent
Intel,N/A,1190000.0 tonnes CO₂,41260969.0 cubic meters,93.0 MWh,N/A,85.0 percent
INTERCONTINENTAL EXCHANGE,2016,N/A,60.0 cubic meters,2069.0 MWh,N/A,450.0 tonnes CO₂
"Intercontinental Exchange, Inc.",2023,N/A,N/A,N/A,N/A,N/A
Turkish Airlines,2021,116808.0 tonnes CO₂,N/A,N/A,N/A,N/A
American Airlines,2022,11600.0 tonnes CO₂,1.82 cubic meters,285172.0 MWh,N/A,N/A
IBM,2020,N/A,N/A,N/A,N/A,N/A
IBM,2022,N/A,24000.0 cubic meters,N/A,99.5 percent,N/A
Apple,2019,520500.0 tonnes CO₂,4769616.6 cubic meters,100.0 MWh,100.0 percent,74.0 percent
International Paper,2017,13600000.0 tonnes CO₂,N/A,75.0 MWh,23.0 percent,N/A
International Paper,2023,6365636.0 tonnes CO₂,6.6 cubic meters,70.0 MWh,N/A,32.0 percent
International Paper,2022,6261399.0 tonnes CO₂,N/A,N/A,N/A,N/A
Interpublic,2016,15402.3 tonnes CO₂,N/A,N/A,N/A,N/A
Interpublic,2017,2257.7 tonnes CO₂,N/A,N/A,N/A,N/A
Interpublic,2018,28235.5 tonnes CO₂,N/A,N/A,N/A,N/A
N/A (company name not specified in the text),2019,32544.8 tonnes CO₂,N/A,N/A,N/A,N/A
IPG,2021,N/A,N/A,N/A,N/A,N/A
N/A,2022,N/A,N/A,N/A,N/A,N/A
Intertek Group plc,2019,201332.0 tonnes CO₂,N/A,N/A,N/A,N/A
Intertek Group plc,2021,N/A,N/A,990.0 MWh,N/A,58.0 percent
Intertek Group plc,N/A,N/A,N/A,N/A,N/A,N/A
Intertek Group plc,2024,1000.0 tonnes CO₂,6700000.0 cubic meters,200.0 MWh,N/A,N/A
IFF,2014,242924.0 tonnes CO₂,5584151.0 cubic meters,9949.0 tonnes CO₂,N/A,N/A
Firmenich,N/A,N/A,200.0 cubic meters,61.0 MWh,N/A,44.0 percent
Firmenich,2018,128295.0 tonnes CO₂,6.8 cubic meters,78.0 MWh,N/A,70.0 percent
IFF,2019,N/A,3332340.0 cubic meters,N/A,N/A,72.5 percent
Givaudan,2021,2300000.0 tonnes CO₂,N/A,84.0 MWh,N/A,N/A
Givaudan,2022,35.0 tonnes CO₂,13.0 cubic meters,90.0 MWh,N/A,46.0 percent
IFF,2020,19.7 tonnes CO₂,4678506.0 cubic meters,166513.0 MWh,N/A,21.0 percent
Intuit,2018,N/A,N/A,N/A,N/A,N/A
Intuit,2019,38126.0 tonnes CO₂,N/A,76.0 MWh,N/A,76.0 percent
Intuit,2020,37524.0 tonnes CO₂,N/A,100.0 MWh,N/A,77.0 percent
Intuit,2021,23481.0 tonnes CO₂,N/A,100.0 MWh,N/A,83.0 percent
Intuitive,2019,267543.0 kg,N/A,N/A,N/A,N/A
Intuitive,N/A,25987.0 tonnes CO₂,N/A,N/A,N/A,N/A
Invesco,N/A,0.0 tonnes CO,63357.0 cubic meters,100.0 MWh,N/A,N/A
Invesco,2018,12105.0 tonnes CO,32662.0 cubic meters,N/A,N/A,57.4 percent
Invesco,2022,380136.0 tonnes CO,60364.0 cubic meters,N/A,N/A,100.0 percent
Iron Mountain,2013,307897.0 tonnes CO₂,N/A,70.0 MWh,N/A,N/A
[company name not provided in text],2014,324228.0 tonnes CO₂,N/A,N/A,N/A,N/A
Iron Mountain,2015,324000.0 tonnes CO₂,N/A,2400000.0 MWh,N/A,100.0 percent
Iron Mountain,2016,2.0 tonnes CO₂,N/A,2.5 MWh,65.0 percent,100.0 percent
Iron Mountain,2017,N/A,36147000000.0 cubic meters,N/A,N/A,100.0 percent
Iron Mountain,2018,N/A,N/A,N/A,N/A,588846.0 tonnes CO₂
Iron Mountain,2019,259160.0 tonnes CO₂,924515.0 cubic meters,683919.0 MWh,N/A,14.5 percent
Iron Mountain,2020,211070.0 tonnes CO₂,1015739.0 cubic meters,758595.0 MWh,N/A,29.1 percent
Iron Mountain,2021,217197.0 tonnes CO₂,N/A,830702.0 MWh,N/A,N/A
Iron Mountain,2022,347072.0 tonnes CO₂,N/A,1001511.0 MWh,N/A,N/A
J.B. Hunt,2020,1890776.0 tonnes CO₂,N/A,8.21 MWh,N/A,N/A
GE,2021,1810000.0 tonnes CO₂,18662071.3 cubic meters,63100.0 MWh,N/A,N/A
J.B. Hunt,2022,1942283.0 tonnes CO₂,N/A,6.66 MWh,N/A,N/A
J.B. Hunt,2023,1739774.0 tonnes CO₂,N/A,24.0 MWh,N/A,N/A
Enel Group,2015,119500000.0 tonnes CO₂,174700000.0 cubic meters,N/A,N/A,27.6 percent
WEC Energy Group,2018,N/A,20000000.0 cubic meters,N/A,N/A,54.0 percent
JD.com,2020,355585.45 tonnes CO,2090092.94 tonnes CO₂,N/A,N/A,N/A
JD.com,N/A,238774.9 tonnes CO₂,5046291.19 tonnes CO₂,N/A,N/A,N/A
JD.com,2022,3600145.25 tonnes CO,7280056.58 tonnes CO₂,31247.92 MWh,N/A,N/A
onsemi,2023,828620.0 tonnes CO₂,15652.0 cubic meters,N/A,N/A,70.0 percent
The J. M. Smucker Company,2015,N/A,1.39 cubic meters,N/A,N/A,85.6 percent
The J.M. Smucker Company,2016,1.3 tonnes CO₂,0.01 cubic meters,N/A,N/A,89.0 percent
The J.M. Smucker Company,2017,N/A,N/A,N/A,N/A,91.6 percent
The J. M. Smucker Company,2018,N/A,N/A,N/A,100.0 percent,92.4 percent
THE J.M. SMUCKER CO.,2022,N/A,2946.0 cubic meters,N/A,N/A,N/A
THE J.M. SMUCKER CO.,2023,208640.0 tonnes CO₂,2840.0 cubic meters,93.58 MWh,80.0 percent,96.22 percent
JPMORGAN CHASE & CO.,2017,675073.0 tonnes CO₂,5611797.0 cubic meters,370801.0 MWh,N/A,N/A
JPMorgan Chase,2020,109926.0 tonnes CO₂,5035089.0 cubic meters,1679213.0 MWh,100.0 percent,N/A
JPMorgan Chase,2021,N/A,N/A,20.0 MWh,N/A,97.0 percent
JPMorgan Chase,2022,N/A,N/A,N/A,N/A,N/A
JPMorgan Chase,2023,872169.0 tonnes CO₂,N/A,N/A,N/A,N/A
Hess,2020,3300000.0 tonnes CO₂,3600000.0 cubic meters,634000.0 MWh,N/A,3.9 percent
Jack Henry,2024,3.0 tonnes CO₂,N/A,18.0 MWh,N/A,N/A
Jack Henry & Associates Inc_33,2015,N/A,N/A,N/A,N/A,N/A
U.S. Army Corps of Engineers Omaha District / Hensel-Phelps,2016,300000.0 tonnes CO₂,36.46 cubic meters,N/A,11.0 percent,93.0 percent
Jefferies,N/A,11188.0 tonnes CO₂,N/A,3003.0 MWh,N/A,N/A
Jefferies,2022,N/A,N/A,19206.0 MWh,N/A,N/A
Johnson & Johnson,2008,N/A,11356230.0 cubic meters,N/A,93.0 percent,16.0 percent
Johnson Controls,2019,N/A,N/A,N/A,N/A,83.0 percent
Johnson Controls,2021,30600000.0 tonnes CO₂,0.0 cubic meters,N/A,N/A,83.0 percent
Johnson Controls,2024,606107.0 tonnes CO₂,3196.0 cubic meters,42.1 MWh,N/A,89.0 percent
Johnson Controls,2024,606107.0 tonnes CO₂,3196.0 cubic meters,42.1 MWh,N/A,89.0 percent
Juniper Networks,2024,115715.0 tonnes CO,N/A,31.0 MWh,N/A,N/A
Juniper Networks,2024,115715.0 tonnes CO,N/A,31.0 MWh,N/A,N/A
Juniper Networks,2024,115715.0 tonnes CO,N/A,31.0 MWh,N/A,N/A
Juniper Networks,2024,115715.0 tonnes CO,N/A,31.0 MWh,N/A,N/A
KLA,N/A,4500000.0 tonnes CO,N/A,N/A,N/A,N/A
KLA Corporation,2021,48321.0 tonnes CO₂,251339.87 cubic meters,103377.0 MWh,N/A,N/A
KLA,2022,7964.0 tonnes CO₂,320274.48 cubic meters,109626.0 MWh,N/A,N/A
Kansas City Southern,2016,13.59 tonnes CO₂,2306912.86 cubic meters,N/A,N/A,N/A
Kansas City Southern,2017,1472814.0 tonnes CO₂,2300579.34 cubic meters,N/A,N/A,N/A
Kansas City Southern,2018,1.43 tonnes CO₂,N/A,N/A,N/A,37.0 percent
Kansas City Southern,2019,1400000.0 tonnes CO₂,N/A,N/A,N/A,N/A
KCS,2020,N/A,N/A,N/A,N/A,N/A
Sonoco,N/A,507000.0 tonnes CO₂,17537804.53 cubic meters,N/A,85.0 percent,86.0 percent
KLA,N/A,4500000.0 tonnes CO,N/A,N/A,N/A,N/A
KLA Corporation,2021,48321.0 tonnes CO₂,251339.87 cubic meters,103377.0 MWh,N/A,N/A
KLA,2022,7964.0 tonnes CO₂,320274.48 cubic meters,109626.0 MWh,N/A,N/A
Kansas City Southern,2016,13.59 tonnes CO₂,2306912.86 cubic meters,N/A,N/A,N/A
Kansas City Southern,2017,1472814.0 tonnes CO₂,2300579.34 cubic meters,N/A,N/A,N/A
Kansas City Southern,2018,1.43 tonnes CO₂,N/A,N/A,N/A,37.0 percent
Kansas City Southern,2019,1400000.0 tonnes CO₂,N/A,N/A,N/A,N/A
KCS,2020,N/A,N/A,N/A,N/A,N/A
Sonoco,N/A,507000.0 tonnes CO₂,17537804.53 cubic meters,N/A,85.0 percent,86.0 percent
Keysight Technologies,2017,N/A,N/A,N/A,N/A,N/A
Keysight,2018,N/A,N/A,N/A,N/A,N/A
Keysight,2021,96659.0 tonnes CO₂,N/A,5.0 MWh,N/A,N/A
Keysight,2022,1225.0 tonnes CO₂,275730.83 cubic meters,7900.0 MWh,N/A,26.0 percent
Kimberly-Clark,2021,8000.0 tonnes CO₂,N/A,1655000.0 MWh,N/A,N/A
Kimberly-Clark,2022,65000.0 tonnes CO₂,N/A,195.0 MWh,N/A,N/A
Kimberly-Clark,2023,13000000.0 tonnes CO₂,N/A,1280198.0 MWh,N/A,N/A
Kimco Realty,2023,N/A,N/A,N/A,N/A,N/A
Kimco Realty,2024,N/A,N/A,N/A,N/A,N/A
Kinder Morgan Canada Limited (KML),2018,84234.0 tonnes CO₂,N/A,N/A,N/A,N/A
Kinder Morgan,2019,81000.0 tonnes CO₂,N/A,1018.0 MWh,N/A,N/A
Kinder Morgan,2020,14100000.0 tonnes CO₂,1487000.0 cubic meters,1053.0 MWh,N/A,N/A
Kinder Morgan,2021,19400000.0 tonnes CO₂,1361000.0 cubic meters,1058.0 MWh,N/A,N/A
Kinder Morgan,2022,18100000.0 tonnes CO₂,1459000.0 cubic meters,956.0 MWh,N/A,98.0 percent
Kingfisher,N/A,N/A,N/A,30.0 MWh,N/A,10.0 percent
Kingfisher,N/A,472000.0 tonnes CO₂,N/A,N/A,81.0 percent,N/A
Kingfisher,N/A,N/A,N/A,4.1 MWh,N/A,70.0 percent
Kingfisher,N/A,366145.0 tonnes CO₂,N/A,N/A,N/A,74.0 percent
Kingfisher,N/A,N/A,N/A,7000000.0 MWh,N/A,72.0 percent
Kingfisher,N/A,261000.0 tonnes CO₂,N/A,N/A,N/A,72.0 percent
Kingfisher,N/A,N/A,N/A,N/A,N/A,67.0 percent
Kingfisher,N/A,N/A,N/A,N/A,N/A,69.0 percent
Kingfisher,N/A,214300.0 tonnes CO₂,N/A,N/A,N/A,68.4 percent
Deutsche Telekom,2016,100000.0 tonnes CO₂,2.0 cubic meters,33.0 MWh,N/A,N/A
PVH CORP.,N/A,140482.0 tonnes CO₂,183392.0 cubic meters,N/A,N/A,11321.0 percent
Kraft Heinz,2017,0.19 tonnes CO₂,5.8 cubic meters,N/A,N/A,9.5 percent
Ethical Bean,2020,8.0 tonnes CO₂,1.0 cubic meters,100.0 MWh,N/A,90.0 percent
Kraft Heinz,N/A,N/A,N/A,N/A,N/A,N/A
Kraft Heinz,N/A,501786.0 tonnes CO₂,32608.0 cubic meters,14.21 MWh,N/A,90.0 percent
Kraft Heinz,2024,455972.0 tonnes CO₂,30455.0 cubic meters,N/A,N/A,N/A
Kroger,2020,5749758.0 tonnes CO,N/A,3674.0 MWh,N/A,80.0 percent
Kroger,2022,5251448.0 tonnes CO,N/A,186533.0 MWh,40.0 percent,79.0 percent
Kroger,2023,2335900.0 tonnes CO₂,N/A,376813.0 MWh,N/A,82.0 percent
Kroger,2024,5081613.0 tonnes CO₂,N/A,97513.0 MWh,N/A,N/A
PVH,2020,80888.0 tonnes CO₂,N/A,95453746.0 MWh,N/A,N/A
PVH Corp.,2022,1621297.0 tonnes CO₂,N/A,60.0 MWh,46.5 percent,N/A
L’Oréal,N/A,N/A,2213000.0 cubic meters,41.6 MWh,N/A,93.0 percent
L’Oréal,2016,310441.0 tonnes CO₂,48.0 cubic meters,N/A,N/A,99.8 percent
L’Oréal Group,2017,357770.0 tonnes CO₂,N/A,100.0 MWh,N/A,99.9 percent
L’Oréal,2018,413568.0 tonnes CO₂,48.0 cubic meters,N/A,43.0 percent,0.1 percent
L’Oréal,2013,12.0 tonnes CO₂,N/A,90.0 MWh,34.0 percent,90.9 percent
L’Oréal,2019,434293.0 tonnes CO₂,N/A,N/A,13204.0 tonnes CO₂,0.0 percent
L’Oréal Paris,2021,0.0 tonnes CO₂,N/A,N/A,77.0 percent,N/A
L’Oréal Group,2023,50.0 tonnes CO₂,N/A,100.0 MWh,N/A,N/A
Chevron,2015,57000000.0 tonnes CO₂,78000000.0 cubic meters,N/A,N/A,N/A
FCA,2018,3599405.0 tonnes CO₂,21651.0 cubic meters,15.0 MWh,N/A,96.0 percent
L3Harris,2022,161653.0 tonnes CO₂,1179.0 cubic meters,N/A,N/A,49.0 percent
Stellantis,N/A,460700000.0 tonnes CO₂,7074000.0 cubic meters,58.0 MWh,N/A,72.0 percent
Otsuka Group,2015,N/A,23487000.0 cubic meters,N/A,N/A,98.2 percent
Prysmian Group,2021,824458.0 tonnes CO,8642129.0 cubic meters,N/A,N/A,N/A
LKQ CORPORATION,2021,43000.0 tonnes CO₂,N/A,208000.0 MWh,N/A,200000.0 percent
LKQ Corporation,2022,47000.0 tonnes CO₂,N/A,223000.0 MWh,N/A,N/A
Sephora Collection,2020,304330.0 tonnes CO₂,N/A,N/A,N/A,N/A
LVMH,2021,375740.0 tonnes CO₂,N/A,N/A,N/A,N/A
LVMH,2022,329420.0 tonnes CO₂,N/A,47.0 MWh,N/A,N/A
Chevron,2020,24.0 kg,0.0 cubic meters,N/A,N/A,29.0 percent
Lam Research,2018,92563.0 tonnes CO₂,723013.0 cubic meters,N/A,N/A,57.0 percent
Lam Research,2019,111479.0 tonnes CO₂,1.04 cubic meters,35.0 MWh,N/A,55.0 percent
Lam Research,2020,113482.0 tonnes CO₂,1.11 cubic meters,32.0 MWh,N/A,70.0 percent
Lam Research,2023,190124.0 tonnes CO₂,1525779.89 cubic meters,5535000.0 MWh,N/A,53.0 percent
Lamb Weston,2020,N/A,5131.0 cubic meters,1.37 MWh,N/A,N/A
Lamb Weston,2021,N/A,670960.0 cubic meters,1.21 MWh,N/A,N/A
Lamb Weston,2022,N/A,2074000.0 cubic meters,1.0 MWh,100.0 percent,90.0 percent
Land Securities,2015,70665.0 tonnes CO₂,649339.0 cubic meters,194.0 MWh,N/A,61.0 percent
Landsec,2017,16477.0 tonnes CO₂,N/A,100.0 MWh,N/A,70.8 percent
Landsec,2019,42008.0 tonnes CO,N/A,96.0 MWh,N/A,74.7 percent
Landsec,2021,231223.0 tonnes CO,704573.0 cubic meters,98.0 MWh,N/A,65.0 percent
Landsec,2022,221363.0 tonnes CO,1605.0 cubic meters,100.0 MWh,N/A,79.0 percent
Landsec,2023,243272.0 tonnes CO,770.0 cubic meters,100.0 MWh,N/A,73.0 percent
LEGGETT & PLATT,2023,486.0 tonnes CO₂,N/A,450.0 MWh,N/A,N/A
LEGGETT & PLATT,2024,485800.0 tonnes CO₂,N/A,N/A,N/A,N/A
Legrand,2022,4.0 tonnes CO₂,N/A,N/A,N/A,N/A
Legrand,N/A,13267509.0 tonnes CO,N/A,82.0 MWh,N/A,N/A
Legrand,2023,118.0 tonnes CO₂,N/A,N/A,N/A,N/A
Legrand,2023,8.0 tonnes CO₂,N/A,N/A,N/A,67.5 percent
Lilly,N/A,1580000.0 tonnes CO₂,N/A,N/A,N/A,70.0 percent
Novartis,2014,469.0 kilotonnes,95100000.0 cubic meters,N/A,N/A,N/A
Eli Lilly and Company,2020,788000.0 tonnes CO₂,6100000000.0 cubic meters,N/A,N/A,78.0 percent
Lilly,2023,N/A,N/A,185770.0 MWh,N/A,N/A
Lilly,2021,131000.0 tonnes CO₂,N/A,9.6 MWh,N/A,N/A
Lilly,2022,N/A,N/A,95700.0 MWh,N/A,N/A
Lincoln Financial Group,2016,12312.0 tonnes CO₂,N/A,N/A,N/A,N/A
Lincoln Financial,2017,40234.0 tonnes CO₂,210685.19 cubic meters,N/A,N/A,832.0 percent
Lincoln Financial Group,2020,N/A,3153.25 cubic meters,N/A,N/A,N/A
Linde,2017,28400000.0 tonnes CO₂,56400000.0 cubic meters,N/A,N/A,33.0 percent
Linde,2018,24900000.0 tonnes CO₂,68400000.0 cubic meters,827000.0 MWh,N/A,217.0 percent
Linde,2019,37500000.0 tonnes CO₂,162200000.0 cubic meters,11364000.0 MWh,N/A,90.0 percent
Linde,2020,37200000.0 tonnes CO₂,93100000.0 cubic meters,2500000.0 MWh,N/A,90.0 percent
Linde,2021,39900000.0 tonnes CO₂,99500000.0 cubic meters,17000000.0 MWh,N/A,90.0 percent
Linde,2022,38800000.0 tonnes CO₂,103900000.0 cubic meters,12552000.0 MWh,N/A,90.0 percent
Lloyds Banking Group,2022,0.1 tonnes CO₂,N/A,100.0 MWh,N/A,72.0 percent
Lloyds Banking Group,2023,N/A,N/A,50.0 GWh,N/A,72.0 percent
Lloyds Banking Group,2020,159487.0 tonnes CO₂,N/A,0.0 tonnes CO₂,N/A,N/A
Lockheed Martin,2011,1600000.0 tonnes CO₂,7.57 cubic meters,23.0 MWh,N/A,95.0 percent
Lockheed Martin,2012,17325348.0 tonnes CO₂,6.12 cubic meters,N/A,N/A,1811.0 percent
Lockheed Martin,2013,197000.0 tonnes CO₂,N/A,100.0 MWh,N/A,95.0 percent
Lockheed Martin,2014,1499.0 tonnes CO₂,33694.18 cubic meters,25.0 MWh,N/A,47.0 percent
Lockheed Martin,2015,901917.0 tonnes CO₂,4.33 cubic meters,N/A,N/A,N/A
Lockheed Martin,2016,804245.0 tonnes CO₂,4.39 cubic meters,300000.0 MWh,N/A,N/A
Lockheed Martin,2017,844373.0 tonnes CO₂,5.01 cubic meters,303746.0 MWh,N/A,N/A
Lockheed Martin,2018,819548.0 tonnes CO₂,5.01 cubic meters,307378.0 MWh,N/A,N/A
Lockheed Martin,2019,771435.0 tonnes CO₂,5.15 cubic meters,321941.0 MWh,N/A,N/A
Lockheed Martin,2020,N/A,N/A,322000.0 MWh,N/A,51.0 percent
Lockheed Martin,N/A,N/A,0.08 cubic meters,N/A,N/A,N/A
London Stock Exchange Group plc,2017,13667.0 tonnes CO,97624.0 cubic meters,64.0 MWh,N/A,22.3 percent
London Stock Exchange Group plc,2019,1816.0 tonnes CO,103970.0 cubic meters,100.0 MWh,N/A,271.0 tonnes CO₂
London Stock Exchange Group plc,2021,N/A,N/A,N/A,N/A,N/A
London Stock Exchange Group plc,2024,N/A,N/A,N/A,N/A,N/A
LyondellBasell,2019,22900000.0 tonnes CO₂,N/A,N/A,N/A,1.0 percent
LyondellBasell,2020,24100000.0 tonnes CO₂,N/A,N/A,N/A,N/A
LyondellBasell,2021,23900000.0 tonnes CO₂,N/A,N/A,N/A,N/A
LyondellBasell,2022,14700000.0 tonnes CO₂,N/A,N/A,N/A,N/A
M&G,N/A,12412.0 tonnes CO₂,N/A,N/A,N/A,N/A
Mercedes-Benz,2013,3356000.0 tonnes CO₂,14000000.0 cubic meters,N/A,N/A,97.0 percent
Daimler Group,2014,3271000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Daimler,2015,5075.0 GWh,10000000.0 cubic meters,N/A,N/A,91.0 percent
Daimler,2016,N/A,36000000.0 cubic meters,9.0 MWh,N/A,N/A
Daimler,2017,N/A,N/A,N/A,N/A,N/A
Daimler,2018,132.0 tonnes CO₂,N/A,N/A,N/A,N/A
Daimler,2019,1239000.0 tonnes CO₂,13486000.0 cubic meters,100.0 MWh,N/A,830000.0 percent
Daimler,2020,49.7 tonnes CO₂,11778000.0 cubic meters,60.0 MWh,N/A,N/A
Mercedes-Benz Group,2021,49.1 tonnes CO₂,N/A,100.0 MWh,N/A,N/A
Mercedes-Benz Group,2022,537821.0 tonnes CO₂,N/A,100.0 MWh,N/A,96.0 percent
ON TRACK,2019,251214.0 tonnes CO₂,1389767.0 cubic meters,17.5 MWh,N/A,91.1 percent
MGM Resorts International,2021,N/A,N/A,24.0 MWh,N/A,N/A
Macerich_2017,2015,N/A,945000000.0 cubic meters,N/A,N/A,N/A
Macerich_2022,2022,600000.0 tonnes CO₂,673444.0 cubic meters,1500000.0 MWh,N/A,654775.0 tonnes CO₂
Accenture,2023,26160.0 tonnes CO₂,N/A,97.0 MWh,N/A,N/A
"Macy’s, Inc.",2018,45504.0 tonnes CO₂,N/A,60000000.0 MWh,N/A,N/A
"Macy’s, Inc.",2022,N/A,N/A,N/A,N/A,N/A
Marathon Oil,2012,4920000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Marathon Oil,2013,4780000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Marathon Oil,2014,4490000.0 tonnes CO₂,60510000.0 cubic meters,N/A,N/A,N/A
